allyBaronKills,allyDragonKills,allyInhibitorKills,allySide,allyTowerKills,assists,ccScore,champLevel,championClass,championID,championMastery,championName,damageToChampions,damageToObjectives,deaths,enemyBaronKills,enemyDragonKills,enemyInhibitorKills,enemyTowerKills,firstBaron,firstBlood,firstBloodAssist,firstBloodKill,firstDragon,firstInhibitor,firstInhibitorAssist,firstTower,firstTowerAssist,fiveMinuteGoldDelta,fiveMinuteXPDelta,goldEarned,kills,matchId,riftHerald,summonerName,totalHealed,visionScore,visionWardsPurchased,wardKills,win
1,0,0,Red,2,6,69,14,Marksman,None,53972,Vayne,13480,13551,3,0,4,1,Blue,9,Ally,Ally,False,False,Enemy,Enemy,False,Enemy,False,70.20000000000005,-351.29999999999995,12066,7,3212866230,Enemy,Rinnie the Pooh,4584,31,1,2,0
0,2,0,Red,2,5,17,12,Marksman,None,36037,Xayah,18910,5990,5,0,1,1,Blue,7,None,Ally,False,True,Ally,Enemy,False,Enemy,False,-73.70000000000005,307.70000000000005,9899,5,3212768824,Enemy,Rinnie the Pooh,1649,29,3,4,0
1,3,1,Red,8,11,53,16,Marksman,None,66394,Lucian,14322,11757,1,1,2,0,Blue,5,Enemy,Enemy,False,False,Enemy,Ally,True,Enemy,False,61.200000000000045,341.4000000000001,13113,7,3212780895,Enemy,Rinnie the Pooh,4622,38,3,1,1
0,0,0,Red,0,3,18,6,Support,None,177663,Nami,1927,0,2,0,2,0,Blue,4,None,Enemy,False,False,Enemy,None,None,Enemy,False,-451.79999999999995,-453.9000000000001,3087,0,3211844624,Enemy,Rinnie the Pooh,2452,6,1,0,0
0,3,1,Red,10,12,88,15,Marksman,None,36037,Xayah,24301,7661,2,0,1,0,Blue,5,None,Enemy,False,False,Enemy,Ally,True,Enemy,False,-302.9000000000001,-124.5,11823,8,3211176379,Ally,Rinnie the Pooh,4083,19,1,2,1
0,0,0,Blue,1,5,8,12,Marksman,None,36037,Xayah,12167,3269,7,0,1,0,Red,5,None,Ally,False,False,Enemy,None,None,Enemy,False,-56.799999999999955,-588.4000000000001,9176,7,3211099133,None,Rinnie the Pooh,2149,18,2,2,0
1,4,1,Blue,10,9,118,17,Fighter,None,41256,Riven,39773,20179,7,0,0,0,Red,4,Ally,Ally,False,True,Ally,Ally,True,Enemy,False,419.5,498.0,16984,15,3184793096,Ally,ScarletZ,4633,14,0,0,1
0,2,0,Blue,3,3,26,9,Marksman,None,128784,Vayne,8080,7851,1,0,0,0,Red,0,None,Ally,False,False,Ally,None,None,Ally,True,-44.0,-420.20000000000005,7133,6,3179363060,Ally,ScarletZ,1163,8,1,1,1
0,0,0,Blue,1,5,0,13,Marksman,None,120373,Kaisa,19926,6852,11,0,3,3,Red,11,None,Ally,False,False,Enemy,Enemy,False,Enemy,False,39.200000000000045,-523.7,11568,7,3159456523,Enemy,ScarletZ,2515,8,0,0,0
0,2,1,Red,9,10,64,12,Marksman,None,66239,Lucian,18007,10379,10,0,0,0,Blue,0,None,Ally,False,False,Ally,Ally,False,Ally,False,310.5,453.70000000000005,8574,5,3152033684,Ally,ScarletZ,2313,18,2,3,1
