allyBaronKills,allyDragonKills,allyInhibitorKills,allySide,allyTowerKills,assists,ccScore,champLevel,championClass,championID,championMastery,championName,damageToChampions,damageToObjectives,deaths,enemyBaronKills,enemyDragonKills,enemyInhibitorKills,enemySide,enemyTowerKills,firstBaron,firstBlood,firstBloodAssist,firstBloodKill,firstDragon,firstInhibitor,firstInhibitorAssist,firstTower,firstTowerAssist,fiveMinuteGoldDelta,fiveMinuteXPDelta,goldEarned,kills,matchId,riftHerald,summonerName,totalHealed,visionScore,visionWardsPurchased,wardKills,win
0,2,1,Blue,4,1,7,9,Marksman,None,58891,Lucian,5737,6521,0,0,0,0,Red,0,None,Ally,False,False,Ally,Ally,True,Ally,True,2.400000000000091,-62.59999999999991,7895,8,2990774195,None,hoodcatz,774,0,0,0,1
0,1,0,Red,1,4,454,14,Fighter,None,32656,LeeSin,9549,11750,8,1,2,2,Blue,11,Enemy,Enemy,False,False,Enemy,Enemy,False,Enemy,False,-145.20000000000005,-478.0,9088,4,2990736673,None,hoodcatz,7747,10,0,1,0
0,2,0,Red,1,6,251,12,Marksman,None,5929,Twitch,18234,5142,9,1,1,2,Blue,10,Enemy,Enemy,False,False,Ally,Enemy,False,Enemy,False,134.20000000000005,-305.0,10662,10,2990708328,Enemy,hoodcatz,2031,8,0,0,0
1,4,2,Red,10,6,749,13,Fighter,None,32656,LeeSin,6030,21103,2,0,0,0,Blue,0,Ally,Ally,False,False,Ally,Ally,False,Ally,True,-9.099999999999909,-285.9000000000001,9620,3,2990683655,None,hoodcatz,8741,11,0,1,1
0,2,0,Red,4,1,5,9,Marksman,None,58891,Lucian,6719,8169,0,0,0,0,Blue,0,None,Enemy,False,False,Ally,None,None,Ally,False,-58.40000000000009,-137.5999999999999,6982,4,2990638695,None,hoodcatz,756,7,0,1,1
0,0,0,Red,1,3,31,12,Marksman,None,58891,Lucian,13377,2369,5,0,1,2,Blue,9,None,Enemy,False,False,Enemy,Enemy,False,Enemy,False,352.9000000000001,-394.29999999999995,9987,8,2990272544,Enemy,hoodcatz,2022,11,1,3,0
0,2,1,Red,5,10,626,13,Fighter,None,32656,LeeSin,9566,14846,8,1,1,2,Blue,6,Enemy,Enemy,False,False,Enemy,Enemy,False,Ally,False,-114.5,-436.0999999999999,9682,3,2989758777,Ally,hoodcatz,9486,14,0,1,0
0,1,3,Red,11,10,547,17,Fighter,None,1178,Warwick,15986,6805,7,0,3,0,Blue,3,None,Ally,False,False,Ally,Ally,False,Ally,True,245.29999999999995,7.0,15311,11,2989741206,Enemy,hoodcatz,22262,18,0,4,1
0,4,0,Blue,2,3,781,13,Fighter,None,32656,LeeSin,6332,14380,8,1,2,0,Red,5,Enemy,Ally,False,False,Ally,None,None,Enemy,False,225.5,27.40000000000009,8353,1,2989704000,None,hoodcatz,6646,14,0,3,0
2,3,1,Blue,8,5,179,17,Fighter,None,5150,Mordekaiser,38585,10654,8,0,2,1,Red,7,Ally,Ally,False,False,Enemy,Ally,True,Ally,False,12.200000000000045,-128.5999999999999,14780,13,3221129762,Enemy,chiratly2,11808,9,1,2,0
